Precursor Neutral Formula,Area,Product Mz,Replicate
C10H15Cl7,124377736,416.865817,Lard-D_RC4_01_3322
C10H15Cl7,66764492,416.865817,pork-1_RB8_01_3318
C10H15Cl7,58941388,416.865817,pork-2_RC1_01_3319
C10H15Cl7,101171776,416.865817,pork-3_RC2_01_3320
C10H15Cl7,48310928,418.862894,Blank_procedure_RB7_01_3317
C10H15Cl7,96867832,418.862894,Cal_A_1_RA3_01_3342
C10H15Cl7,402410720,418.862894,Cal_A_2_RA4_01_3343
C10H15Cl7,693392128,418.862894,Cal_A_3_RA5_01_3344
C10H15Cl7,360279648,418.862894,Cal_B_1_RA6_01_3345
C10H15Cl7,858178176,418.862894,Cal_B_2_RA7_01_3346
C10H15Cl7,1461779840,418.862894,Cal_B_3_RA8_01_3347
C10H15Cl7,1350723328,418.862894,Cal_C_1_RB1_01_3348
C10H15Cl7,3165432320,418.862894,Cal_C_2_RB2_01_3349
C10H15Cl7,5037003776,418.862894,Cal_C_3_RB3_01_3350
C10H15Cl7,156710320,418.862894,Lard-B_RC3_01_3321
C10H15Cl7,139985136,418.862894,Lard-D_RC4_01_3322
C10H15Cl7,76298328,418.862894,pork-1_RB8_01_3318
C10H15Cl7,65724872,418.862894,pork-2_RC1_01_3319
C10H15Cl7,113680464,418.862894,pork-3_RC2_01_3320
C10H15Cl7,28957792,420.859981,Blank_procedure_RB7_01_3317
C10H15Cl7,61892204,420.859981,Cal_A_1_RA3_01_3342
C10H15Cl7,255374240,420.859981,Cal_A_2_RA4_01_3343
C10H15Cl7,440465824,420.859981,Cal_A_3_RA5_01_3344
C10H15Cl7,231128144,420.859981,Cal_B_1_RA6_01_3345
C10H15Cl7,548238016,420.859981,Cal_B_2_RA7_01_3346
C10H15Cl7,921176768,420.859981,Cal_B_3_RA8_01_3347
C10H15Cl7,848509760,420.859981,Cal_C_1_RB1_01_3348
C10H15Cl7,2032161792,420.859981,Cal_C_2_RB2_01_3349
C10H15Cl7,3250844416,420.859981,Cal_C_3_RB3_01_3350
C10H15Cl7,99064136,420.859981,Lard-B_RC3_01_3321
C10H15Cl7,88436592,420.859981,Lard-D_RC4_01_3322
C10H15Cl7,48277068,420.859981,pork-1_RB8_01_3318
C10H15Cl7,42037796,420.859981,pork-2_RC1_01_3319
C10H15Cl7,72521840,420.859981,pork-3_RC2_01_3320
C10H14Cl8,6596086,450.826842,Blank_procedure_RB7_01_3317
C10H14Cl8,9053457,450.826842,Cal_A_1_RA3_01_3342
C10H14Cl8,53204348,450.826842,Cal_A_2_RA4_01_3343
C10H14Cl8,92400040,450.826842,Cal_A_3_RA5_01_3344
C10H14Cl8,55591056,450.826842,Cal_B_1_RA6_01_3345
C10H14Cl8,129264072,450.826842,Cal_B_2_RA7_01_3346
C10H14Cl8,195369680,450.826842,Cal_B_3_RA8_01_3347
C10H14Cl8,452632128,450.826842,Cal_C_1_RB1_01_3348
C10H14Cl8,1027136512,450.826842,Cal_C_2_RB2_01_3349
C10H14Cl8,1516069120,450.826842,Cal_C_3_RB3_01_3350
C10H14Cl8,24026180,450.826842,Lard-B_RC3_01_3321
C10H14Cl8,21963850,450.826842,Lard-D_RC4_01_3322
C10H14Cl8,12674787,450.826842,pork-1_RB8_01_3318
C10H14Cl8,8771242,450.826842,pork-2_RC1_01_3319
C10H14Cl8,18580502,450.826842,pork-3_RC2_01_3320
C10H14Cl8,10747982,452.823916,Blank_procedure_RB7_01_3317
C10H14Cl8,14518806,452.823916,Cal_A_1_RA3_01_3342
C10H14Cl8,70215616,452.823916,Cal_A_2_RA4_01_3343
C10H14Cl8,121929096,452.823916,Cal_A_3_RA5_01_3344
C10H14Cl8,72757680,452.823916,Cal_B_1_RA6_01_3345
C10H14Cl8,170545280,452.823916,Cal_B_2_RA7_01_3346
C10H14Cl8,261256688,452.823916,Cal_B_3_RA8_01_3347
C10H14Cl8,588712960,452.823916,Cal_C_1_RB1_01_3348
C10H14Cl8,1368951936,452.823916,Cal_C_2_RB2_01_3349
C10H14Cl8,2049243136,452.823916,Cal_C_3_RB3_01_3350
